dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,100.0,overall,5957,0.11923283671999695,0.0794960550863112,0.5039449387275474,0.12977576290551746,0.13324389414877869,0.650495215712607
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,100.0,q1,5787,0.13181867129790575,0.11039217227089552,0.5184033177812338,0.15119356605330245,0.18535742685147588,0.6689130810437187
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,100.0,q2,4520,0.0001834551465104924,0.000357669616519174,0.001327433628318584,0.0004973294251275122,0.0013795029945472422,0.0035398230088495575
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,100.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,100.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,100.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,200.0,overall,5957,0.1162569197475233,0.0718985347030966,0.4888366627497062,0.12419802051875176,0.12027649703455925,0.6271613228134967
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,200.0,q1,5787,0.12693917570613733,0.09813907075619716,0.503196820459651,0.14288842944503097,0.16535996280230875,0.6455849317435631
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,200.0,q2,4520,0.0,0.0,0.0,1.9663257315936002e-05,5.5309734513274336e-05,0.00022123893805309734
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,200.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,200.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,200.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
