dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,4,GS-EASE,binary,1.0,sym,q4,1676,0.0,0.0,0.0,0.0002388114829229774,0.0007458233890214797,0.0017899761336515514
ml-1m,4,GS-EASE,binary,1.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,binary,3.0,sym,overall,6006,0.36780420492636134,0.22434780201108462,0.8762903762903763,0.36733403241642976,0.3283719582038453,0.9302364302364302
ml-1m,4,Lap-EASE,binary,3.0,sym,q1,5939,0.39053291921994066,0.2896221280616603,0.8799461188752316,0.40577388421179,0.42027276613255876,0.9328169725543021
ml-1m,4,Lap-EASE,binary,3.0,sym,q2,4417,0.008604382318311022,0.018195256743179875,0.035318089200815035,0.016575610026816824,0.04232882302610329,0.09486076522526601
ml-1m,4,Lap-EASE,binary,3.0,sym,q3,2931,0.0011180323825121824,0.002579161995743367,0.0037529853292391675,0.0025848242050513716,0.00769727543013111,0.011258955987717503
ml-1m,4,Lap-EASE,binary,3.0,sym,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.0004928983078834625,0.001392203659506762,0.0017899761336515514
ml-1m,4,Lap-EASE,binary,3.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,GS-EASE,binary,3.0,sym,overall,6006,0.09258476947140648,0.0445473798717086,0.40176490176490176,0.09359685523731572,0.07503288734167322,0.518981018981019
ml-1m,4,GS-EASE,binary,3.0,sym,q1,5939,0.09179435139782288,0.05796411825045124,0.3862603131840377,0.09618984314134021,0.09563266872352161,0.5000841892574508
ml-1m,4,GS-EASE,binary,3.0,sym,q2,4417,0.013395733669959681,0.020247992212985254,0.06769300430156215,0.019577582989258043,0.03736174125830532,0.1199909440796921
ml-1m,4,GS-EASE,binary,3.0,sym,q3,2931,0.0012058900780498683,0.0023699304789376436,0.005458887751620608,0.002265965117532464,0.005717425510158365,0.01330603889457523
ml-1m,4,GS-EASE,binary,3.0,sym,q4,1676,0.0,0.0,0.0,0.00018559046431834483,0.0005966587112171838,0.0011933174224343676
ml-1m,4,GS-EASE,binary,3.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,binary,10.0,sym,overall,6006,0.36395556934387385,0.218397791504699,0.8672993672993673,0.36165184587042165,0.31985549527962864,0.9250749250749251
ml-1m,4,Lap-EASE,binary,10.0,sym,q1,5939,0.3878618721662871,0.28426564300784996,0.8733793567940731,0.4016275186421623,0.4123971149120207,0.9292810237413706
